perfil_id,position,inicio,area,duracao_emp,duracao,qtd_jobs
0,CEO and Founder,2011-09-01,CEO and Founder,87.86666666666666,182.43333333333334,5
1,Product Manager,2017-07-01,Quality,16.866666666666667,53.96666666666666,5
2,JavaScript Software Architect,2017-07-01,IT,16.866666666666667,87.10000000000001,5
3,CRM Analyst,2017-08-01,Commercial,15.833333333333334,25.933333333333337,3
4,Sales Operations Coordinator,2017-03-01,Commercial,20.933333333333334,27.066666666666666,5
5,Key Account Manager,2016-07-01,Commercial,29.033333333333335,129.5,5
6,Software Engineer and Data Scientist,2016-11-01,Data Science,24.933333333333334,236.56666666666666,5
7,Aprediz administrativo,2017-04-01,Intern,19.9,38.166666666666664,2
8,Founder and CFO,2011-01-01,CEO and Founder,95.96666666666667,197.2,5
9,Sales Operations Manager,2016-08-01,Commercial,28.0,70.56666666666666,3
10,Head of In-Store Operation,2017-05-01,Operational,18.9,143.66666666666669,5
11,People Consultant,2017-09-01,RH,14.8,62.00000000000001,5
12,Operações ERP,2017-09-01,Operational,14.8,66.1,5
13,Estagiária de CRM,2017-08-01,Intern,15.833333333333334,41.199999999999996,5
14,Product Manager,2017-05-01,Quality,18.9,40.166666666666664,5
15,Key Account,2017-03-01,Commercial,20.933333333333334,91.6,5
16,Head of People,2017-09-01,RH,14.8,48.233333333333334,5
17,Public Relations Intern,2017-08-01,Intern,15.833333333333334,46.86666666666667,3
18,Trade Marketing Analyst,2017-07-01,Marketing,16.866666666666667,37.166666666666664,5
19,Customer Success - Intern,2017-03-01,Intern,20.933333333333334,60.53333333333333,3
20,Time de Expansão,2017-01-01,Others,22.9,67.2,3
21,Onboarding Coordinator,2017-02-01,General Management,21.866666666666667,107.13333333333333,5
22,Analista de DP,2016-10-01,Others,25.966666666666665,77.79999999999998,5
23,Diretora de arte,2017-01-01,Design,22.9,59.43333333333332,3
24,Engenheiro de Software,2016-08-01,Engineering,28.0,127.46666666666667,3
25,Costomer Success,2017-01-01,Commercial,22.9,116.43333333333334,5
26,Customer Sucess Analyst,2017-02-01,Commercial,21.866666666666667,29.0,2
27,Estagiária de Customer Success,2017-03-01,Intern,20.933333333333334,45.3,5
28,Coordenadora de Branding,2017-05-01,Marketing,18.9,69.63333333333333,5
29,Lead Software Developer,2016-10-01,IT,25.966666666666665,165.96666666666667,5
30,Customer Success,2017-03-01,Commercial,20.933333333333334,20.933333333333334,1
31,Full Stack Engineer,2016-07-01,Engineering,29.033333333333335,133.53333333333333,4
32,Key Account Manager,2017-07-01,Commercial,16.866666666666667,116.93333333333334,5
33,"Lead Product Designer, Partner",2013-10-01,Design,62.5,217.73333333333335,5
34,Product Manager,2016-07-01,Quality,29.033333333333335,80.76666666666668,5
35,Engenheiro de software sênior,2012-12-01,Engineering,72.63333333333334,195.4,5
36,Customer Success,2017-03-01,Commercial,20.933333333333334,44.266666666666666,3
37,Software Developer,2016-01-01,IT,35.1,174.73333333333335,5
38,Arquiteto de soluções,2017-03-01,Engineering,20.933333333333334,152.4,4
39,Business Intelligence and Data Analyst,2016-10-01,Data Science,25.966666666666665,136.13333333333333,5
40,Tech Leader,2016-03-01,Others,33.1,66.56666666666666,5
41,Analista financeiro,2017-01-01,Financial,22.9,73.2,5
42,Analista financeiro,2017-07-01,Financial,16.866666666666667,50.36666666666667,3
43,Analista de controladoria,2016-10-01,Financial,25.966666666666665,48.3,2
44,Software Architect,2017-08-01,IT,15.833333333333334,47.26666666666667,5
45,Desenvolvedor Júnior,2017-05-01,IT,18.9,39.199999999999996,4
46,Software Developer,2016-10-01,IT,25.966666666666665,25.966666666666665,1
47,Talent Acquisition,2016-10-01,RH,25.966666666666665,69.56666666666666,4
48,Gestora do time de Pessoas - Responsável por R&S e T&D,2017-01-01,RH,22.9,101.93333333333332,5
49,Senior UX Designer,2015-03-01,Design,45.3,110.26666666666667,5
50,Director of Marketing,2017-01-01,Marketing,22.9,102.13333333333333,5
51,COO,2015-03-01,CEO and Founder,45.3,91.89999999999999,5
52,Product Growth Manager,2017-07-01,Quality,16.866666666666667,77.66666666666667,5
53,Co-idealizador e Anfitrião,2017-08-01,CEO and Founder,15.833333333333334,114.63333333333333,5
54,Head of Customer Success,2014-04-01,Commercial,56.43333333333333,112.13333333333331,5
55,Purchasing Analyst,2017-08-01,Commercial,15.833333333333334,55.43333333333334,5
56,Estágio em Marketing CRM,2016-12-01,Intern,23.933333333333334,34.06666666666667,3
57,Coordenadora de CS,2017-03-01,Others,20.933333333333334,45.266666666666666,5
58,Analista de DP,2017-03-01,Others,20.933333333333334,74.7,4
59,Estagiaria do Financeiro,2016-12-01,Intern,23.933333333333334,60.5,5
60,Head of Data Analytics,2017-03-01,Data Science,20.933333333333334,179.23333333333335,5
61,Commercial Analyst,2016-08-01,Commercial,28.0,57.36666666666667,4
62,Head Of Commercial,2017-06-01,Commercial,17.866666666666667,78.8,5
63,Analista de tecnologia da informação,2017-08-01,IT,15.833333333333334,68.53333333333333,5
64,Analista Financeiro,2015-03-01,Financial,45.3,93.03333333333333,5
65,People Consultant,2017-01-01,RH,22.9,85.36666666666666,3
66,Business Development Manager,2016-11-01,General Management,24.933333333333334,84.83333333333333,5
67,Customer Success,2014-10-01,Commercial,50.333333333333336,50.333333333333336,1
68,Head of Trojan Technologies In-Store,2015-11-01,Commercial,37.13333333333333,79.79999999999998,5
69,Trade Marketing,2016-07-01,Marketing,29.033333333333335,108.13333333333333,5
70,Sales Operations Analyst,2017-07-01,Commercial,16.866666666666667,29.0,3
71,English Teacher,2017-02-01,Education,21.866666666666667,84.46666666666667,5
72,Coordenador de marketing,2015-08-01,Marketing,40.2,95.93333333333334,5
73,Writer,2017-08-01,Writer,15.833333333333334,41.8,2
74,Commercial,2017-03-01,Commercial,20.933333333333334,100.13333333333334,5
75,Gerente de operações,2017-02-01,Operational,21.866666666666667,160.53333333333336,5
76,Trade Marketing,2016-10-01,Marketing,25.966666666666665,42.233333333333334,2
77,Key Account Manager,2016-03-01,Commercial,33.1,88.86666666666666,4
78,Head of Product Design - UXP,2016-10-01,Design,25.966666666666665,185.29999999999998,5
79,Lead Software Developer,2017-02-01,IT,21.866666666666667,172.0666666666667,5
80,Software Test Developer II,2016-10-01,IT,25.966666666666665,66.6,5
81,Finance Director,2016-10-01,Financial,25.966666666666665,77.66666666666666,5
82,Desenvolvedor Jr,2017-07-01,IT,16.866666666666667,61.56666666666666,5
83,Desenvolvedor Junior,2017-02-01,IT,21.866666666666667,31.03333333333333,3
84,Desenvolvedor Pleno I,2016-10-01,IT,25.966666666666665,68.56666666666666,3
85,iOS Developer,2017-04-01,IT,19.9,75.73333333333333,4
86,Software Developer,2016-10-01,IT,25.966666666666665,94.93333333333332,5
87,Desenvolvedora de Software,2016-10-01,IT,25.966666666666665,25.966666666666665,1
88,Software Developer,2016-10-01,IT,25.966666666666665,36.13333333333333,3
89,Time de Expansão Local,2017-03-01,Others,20.933333333333334,40.166666666666664,3
90,Data Engineer BI and Data Analyst,2016-03-01,Data Science,33.1,95.06666666666666,5
91,Especialista em Marketing de Performance,2017-06-01,Marketing,17.866666666666667,55.43333333333333,5
92,Analista de Atendimento,2014-08-01,Commercial,52.36666666666667,69.63333333333334,3
93,Executivo de vendas,2017-03-01,Commercial,20.933333333333334,220.73333333333332,4
94,Head Of Sales,2017-04-01,Commercial,19.9,157.56666666666666,5
95,Head Of Strategy,2017-08-01,General Management,15.833333333333334,61.53333333333333,5
96,Business Developer + Product Manager,2017-06-01,Quality,17.866666666666667,202.73333333333332,5
97,Executivo Comercial Senior,2017-03-01,Commercial,20.933333333333334,159.93333333333334,5
98,Inside Sales,2017-05-01,Commercial,18.9,57.46666666666666,5
99,Gerente Regional Rio de Janeiro,2017-01-01,General Management,22.9,293.4,5
100,Coordenador Comercial,2017-03-01,Commercial,20.933333333333334,162.56666666666666,5
101,Gerente comercial Sao Paulo,2017-02-01,Commercial,21.866666666666667,159.06666666666666,5
102,Executiva de Contas,2017-02-01,Financial,21.866666666666667,124.36666666666666,4
103,Gerente Comercial e Operações Regional Centro-Oeste,2017-01-01,Commercial,22.9,167.93333333333334,5
104,Sales Executive,2017-03-01,Commercial,20.933333333333334,100.03333333333333,5
105,Software Architect,2017-07-01,IT,16.866666666666667,110.13333333333334,5
106,Executivo de vendas,2017-03-01,Commercial,20.933333333333334,100.10000000000001,5
107,Analista de marketing,2017-06-01,Marketing,17.866666666666667,40.133333333333326,5
109,Gerente Regional Sul,2017-03-01,General Management,20.933333333333334,66.56666666666666,5
110,Software Developer,2017-02-01,IT,21.866666666666667,21.866666666666667,1
